Own BIC,Correspondent,R. Status,R. Restr.,S. Status,S. Restr.,Correspondent Name
MHCBINBB,AAALSARI,Enabled," "," "," ",ALAWWAL BANK
MHCBINBB,ABKKKWKW,Rejected," ",Revoked," ",AL AHLI BANK OF KUWAIT K.S.C.P
MHCBINBB,ABNADEFF,Rejected," ",Revoked," ",
MHCBINBB,ABNANL2A,Enabled," ",Enabled," ",ABN AMRO BANK N.V.
MHCBINBB,ABNANL2R,Enabled," ",Enabled," ",ABN AMRO BANK N.V.
MHCBINBB,ABNASG2A," "," ",Revoked," ",ABN AMRO BANK N.V. SINGAPORE BRANCH
MHCBINBB,ABNASGSG,Rejected," ",Revoked," ",
MHCBINBB,ABNAUS33,Rejected," ",Revoked," ",
MHCBINBB,ABNAUS4C,Rejected," ",Revoked," ",
MHCBINBB,ABOCCNBJ,Enabled," ",Enabled," ","AGRICULTURAL BANK OF CHINA, THE"
MHCBINBB,ABSAZAJJ,Enabled," "," "," ",ABSA BANK LIMITED
MHCBINBB,ABYSETAA,Enabled," ",Enabled," ",BANK OF ABYSSINIA
MHCBINBB,ACLXTHBK,Enabled," ",Enabled," ",
MHCBINBB,ADCBAEAA,Enabled," ",Enabled," ",ABU DHABI COMMERCIAL BANK
MHCBINBB,ADIABE22,Enabled," ",Enabled," ",KBC BANK N.V. BC DIAMANT
MHCBINBB,ADIBUS33,Revoked," ",Deleted," ",FIRST ABU DHABI BANK USA N.V.
MHCBINBB,AEIBDEFX,Revoked," ",Deleted," ",
MHCBINBB,AEIBGB2X,Revoked," ",Deleted," ",
MHCBINBB,AEIBHKHX," "," ",Deleted," ",
MHCBINBB,AEIBUS33,Revoked," ",Deleted," ",
MHCBINBB,AFRIMGMG,Enabled," ",Enabled," ",BANK OF AFRICA MADAGASCAR
MHCBINBB,AGRIUAUK,Revoked," ",Deleted," ",CREDIT AGRICOLE BANK PJSC
MHCBINBB,AHCRESVV,Revoked," ",Deleted," ",
MHCBINBB,AJIBJOAX,Revoked," ",Deleted," ",ARAB JORDAN INVESTMENT BANK
MHCBINBB,AKBKTRIS,Enabled," ",Enabled," ",AKBANK T.A.S.
MHCBINBB,AMASJPJZ,Enabled," ",Enabled," ","AMAGASAKI SHINKIN BANK, THE"
MHCBINBB,ANDLTRIS,Enabled," ",Enabled," ",ANADOLUBANK A.S.
