Branch,Doc_Date,Document_No,LC_Date,LC_Number,Customer_Name,Customer_Invoice No.,Overseas_Bank_Name,Drawee,Curr,Loan_Advance,Net_Amount,Bill_Amount,Amount_Realised,Balance,Bill_Due_Date,Accepted_Due_Date,Payment_Tenor,Goods,Country,Shipping_Bill_No, Shipping_Bill_Date, InvoiceNo, InvoiceDate,GR_PP CUST NO , PortCode, Shipping Bill Currency, Shipping Bill Amount,Customer_AccountNo,Swift,IFSC,Bank_Country,Dispatch_Indicator,Notes
6770001,05/02/2018,BCA/792/177399,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170388,SONALI BANK LTD,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,420784,336627.2,84156.8,02/03/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,2273264,18/01/2018,RES/20170388,,,INSNF6,USD,420784,H10792102367,,,BD,,,
6770001,22/12/2017,BCA/792/177220,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170331/332/336,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,217461,173968.8,43492.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1365221,06/12/2017,RES/20170331,,,INSNF6,USD,46206,H10792102367,BSONBDDH,,BD,,,
6770001,22/12/2017,BCA/792/177220,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170331/332/336,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,217461,173968.8,43492.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1365259,06/12/2017,RES/20170332,,,INSNF6,USD,158420,H10792102367,BSONBDDH,,BD,,,
6770001,22/12/2017,BCA/792/177220,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170331/332/336,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,217461,173968.8,43492.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1417338,08/12/2017,RES/20170336,,,INSNF6,USD,12835,H10792102367,BSONBDDH,,BD,,,
6770001,22/12/2017,BCA/792/177221,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170333/334/335/337,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,948396,758716.8,189679.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1417326,08/12/2017,RES/20170334,,,INSNF6,USD,82144,H10792102367,BSONBDDH,,BD,,,
6770001,22/12/2017,BCA/792/177221,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170333/334/335/337,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,948396,758716.8,189679.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1417348,08/12/2017,RES/20170335,,,INSNF6,USD,509172,H10792102367,BSONBDDH,,BD,,,
6770001,22/12/2017,BCA/792/177221,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170333/334/335/337,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,948396,758716.8,189679.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1365246,06/12/2017,RES/20170333,,,INSNF6,USD,176744,H10792102367,BSONBDDH,,BD,,,
6770001,22/12/2017,BCA/792/177221,24/09/2017,033017070010,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170333/334/335/337,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,948396,758716.8,189679.2,16/01/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1417356,08/12/2017,RES/20170337,,,INSNF6,USD,180336,H10792102367,BSONBDDH,,BD,,,
6770001,16/01/2018,BCA/792/177324,24/09/2017,033017070011,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170371/376/377/384/385,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1631656,1305324.8,326331.2,12/02/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1944733,02/01/2018,RES/20170384,,,INSNF6,USD,118500,H10792102367,BSONBDDH,,BD,,,
6770001,16/01/2018,BCA/792/177324,24/09/2017,033017070011,TOSHIBA TRANSMISSION AND DISTRIBUTION SY,RES/20170371/376/377/384/385,SONALI BANK LIMITED,BANGLADESH RURAL ELECTRIFICATION BOARD,USD,N,0,1631656,1305324.8,326331.2,12/02/2018,,Sight,MACHINE TOOLS- MACHINERY AND INSTRUMENT,BANGLADESH,1922447,01/01/2018,RES/20170377,,,INSNF6,USD,46256,H10792102367,BSONBDDH,,BD,,,
